metric,description,classification
f0479018,General_Prevention_Medical_Medicine_Patient_Care_Office_Based=2018,EXTENSIVE
f0479218,General_Prevention_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0479318,Public_Health_Total=2018,EXTENSIVE
f0479518,Public_Health_Patient_Care_Office_Based=2018,EXTENSIVE
f0479718,Public_Health_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0480318,Radiation_Oncology_Total=2018,EXTENSIVE
f0480518,Radiation_Oncology_Patient_Care_Office_Based=2018,EXTENSIVE
f0480718,Radiation_Oncology_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0481318,Unspecified_Total=2018,EXTENSIVE
f0481518,Unspecified_Patient_Care_Office_Based=2018,EXTENSIVE
f0481718,Unspecified_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0481818,Medical_Doctors_Inactive_Total=2018,EXTENSIVE
f0481918,Medical_Doctors_Not_Classified_Total=2018,EXTENSIVE
f0482018,Total_M.D.'s_Male=2018,EXTENSIVE
f0482118,Total_M.D.'s_Female=2018,EXTENSIVE
f0490018,Medical_Doctors_Inactive_Male=2018,EXTENSIVE
f0490118,Medical_Doctors_Inactive_Female=2018,EXTENSIVE
f0490418,Total_M.D.'s_<_35=2018,EXTENSIVE
f0490518,Total_M.D.'s_35_44=2018,EXTENSIVE
f0490618,Total_M.D.'s_45_54=2018,EXTENSIVE
f0490718,Total_M.D.'s_55_64=2018,EXTENSIVE
f0491018,Medical_Doctors_Total_General_Practice_<_35=2018,EXTENSIVE
f0491118,Medical_Doctors_Total_General_Practice_35_44=2018,EXTENSIVE
f0491218,Medical_Doctors_Total_General_Practice_45_54=2018,EXTENSIVE
f0491318,Medical_Doctors_Total_General_Practice_55_64=2018,EXTENSIVE
f0491618,Medical_Specialty_Total_<_35=2018,EXTENSIVE
f0491718,Medical_Specialty_Total_35_44=2018,EXTENSIVE
f0491818,Medical_Specialty_Total_45_54=2018,EXTENSIVE
f0491918,Medical_Specialty_Total_55_64=2018,EXTENSIVE
f0492818,Cardiovascular_Diseases_<_35=2018,EXTENSIVE
f0492918,Cardiovascular_Diseases_35_44=2018,EXTENSIVE
f0493018,Cardiovascular_Diseases_45_54=2018,EXTENSIVE
f0493118,Cardiovascular_Diseases_55_64=2018,EXTENSIVE
f0493418,Dermatology_<_35=2018,EXTENSIVE
f0493518,Dermatology_35_44=2018,EXTENSIVE
f0493618,Dermatology_45_54=2018,EXTENSIVE
f0493718,Dermatology_55_64=2018,EXTENSIVE
f0494018,Gastroenterology_<_35=2018,EXTENSIVE
f0494118,Gastroenterology_35_44=2018,EXTENSIVE
f0494218,Gastroenterology_45_54=2018,EXTENSIVE
f0494318,Gastroenterology_55_64=2018,EXTENSIVE
f0496418,Pediatric_Cardiology_<_35=2018,EXTENSIVE
f0496518,Pediatric_Cardiology_35_44=2018,EXTENSIVE
f0496618,Pediatric_Cardiology_45_54=2018,EXTENSIVE
f0496718,Pediatric_Cardiology_55_64=2018,EXTENSIVE
f0497018,Pulmonary_Diseases_<_35=2018,EXTENSIVE
f0497118,Pulmonary_Diseases_35_44=2018,EXTENSIVE
f0497218,Pulmonary_Diseases_45_54=2018,EXTENSIVE
f0497318,Pulmonary_Diseases_55_64=2018,EXTENSIVE
f0497618,Surgical_Specialty_Total_<_35=2018,EXTENSIVE
f0497718,Surgical_Specialty_Total_35_44=2018,EXTENSIVE
f0497818,Surgical_Specialty_Total_45_54=2018,EXTENSIVE
f0497918,Surgical_Specialty_Total_55_64=2018,EXTENSIVE
f0498218,General_Surgery_<_35=2018,EXTENSIVE
f0498318,General_Surgery_35_44=2018,EXTENSIVE
f0498418,General_Surgery_45_54=2018,EXTENSIVE
f0498518,General_Surgery_55_64=2018,EXTENSIVE
f0498818,Neurological_Surgery_<_35=2018,EXTENSIVE
f0498918,Neurological_Surgery_35_44=2018,EXTENSIVE
f0499018,Neurological_Surgery_45_54=2018,EXTENSIVE
f0499118,Neurological_Surgery_55_64=2018,EXTENSIVE
f0500018,Ophthalmology_<_35=2018,EXTENSIVE
f0500118,Ophthalmology_35_44=2018,EXTENSIVE
f0500218,Ophthalmology_45_54=2018,EXTENSIVE
f0500318,Ophthalmology_55_64=2018,EXTENSIVE
f0500618,Orthopedic_Surgery_<_35=2018,EXTENSIVE
f0500718,Orthopedic_Surgery_35_44=2018,EXTENSIVE
f0500818,Orthopedic_Surgery_45_54=2018,EXTENSIVE
f0500918,Orthopedic_Surgery_55_64=2018,EXTENSIVE
f0501218,Otolaryngology_<_35=2018,EXTENSIVE
f0501318,Otolaryngology_35_44=2018,EXTENSIVE
f0501418,Otolaryngology_45_54=2018,EXTENSIVE
f0501518,Otolaryngology_55_64=2018,EXTENSIVE
f0501818,Plastic_Surgery_<_35=2018,EXTENSIVE
f0501918,Plastic_Surgery_35_44=2018,EXTENSIVE
f0502018,Plastic_Surgery_45_54=2018,EXTENSIVE
f0502118,Plastic_Surgery_55_64=2018,EXTENSIVE
f0502418,Colon_&_Rectal_Surgery_<_35=2018,EXTENSIVE
f0502518,Colon_&_Rectal_Surgery_35_44=2018,EXTENSIVE
f0502618,Colon_&_Rectal_Surgery_45_54=2018,EXTENSIVE
f0502718,Colon_&_Rectal_Surgery_55_64=2018,EXTENSIVE
f0503018,Thoracic_Surgery_<_35=2018,EXTENSIVE
f0503118,Thoracic_Surgery_35_44=2018,EXTENSIVE
f0503218,Thoracic_Surgery_45_54=2018,EXTENSIVE
f0503318,Thoracic_Surgery_55_64=2018,EXTENSIVE
f0503618,Urology_<_35=2018,EXTENSIVE
f0503718,Urology_35_44=2018,EXTENSIVE
f0503818,Urology_45_54=2018,EXTENSIVE
f0503918,Urology_55_64=2018,EXTENSIVE
f0504218,Other_Specialty_Total_<_35=2018,EXTENSIVE
f0504318,Other_Specialty_Total_35_44=2018,EXTENSIVE
f0504418,Other_Specialty_Total_45_54=2018,EXTENSIVE
f0504518,Other_Specialty_Total_55_64=2018,EXTENSIVE
f0504918,Aerospace_Medicine_35_44=2018,EXTENSIVE
f0505018,Aerospace_Medicine_45_54=2018,EXTENSIVE
f0505118,Aerospace_Medicine_55_64=2018,EXTENSIVE
f0505418,Anesthesiology_<_35=2018,EXTENSIVE
f0505518,Anesthesiology_35_44=2018,EXTENSIVE
f0505618,Anesthesiology_45_54=2018,EXTENSIVE
f0505718,Anesthesiology_55_64=2018,EXTENSIVE
f0506018,Child_Psychiatry_<_35=2018,EXTENSIVE
f0506118,Child_Psychiatry_35_44=2018,EXTENSIVE
f0506218,Child_Psychiatry_45_54=2018,EXTENSIVE
f0506318,Child_Psychiatry_55_64=2018,EXTENSIVE
f0506618,Diagnostic_Radiology_<_35=2018,EXTENSIVE
f0506718,Diagnostic_Radiology_35_44=2018,EXTENSIVE
f0506818,Diagnostic_Radiology_45_54=2018,EXTENSIVE
f0506918,Diagnostic_Radiology_55_64=2018,EXTENSIVE
f0507218,Forensic_Pathology_<_35=2018,EXTENSIVE
f0507318,Forensic_Pathology_35_44=2018,EXTENSIVE
f0507418,Forensic_Pathology_45_54=2018,EXTENSIVE
f0507518,Forensic_Pathology_55_64=2018,EXTENSIVE
f0507818,Neurology_<_35=2018,EXTENSIVE
f0507918,Neurology_35_44=2018,EXTENSIVE
f0508018,Neurology_45_54=2018,EXTENSIVE
f0508118,Neurology_55_64=2018,EXTENSIVE
f0508418,Occupational_Medicine_<_35=2018,EXTENSIVE
f0508518,Occupational_Medicine_35_44=2018,EXTENSIVE
f0508618,Occupational_Medicine_45_54=2018,EXTENSIVE
f0508718,Occupational_Medicine_55_64=2018,EXTENSIVE
f0509018,Psychiatry_<_35=2018,EXTENSIVE
f0509118,Psychiatry_35_44=2018,EXTENSIVE
f0509218,Psychiatry_45_54=2018,EXTENSIVE
f0509318,Psychiatry_55_64=2018,EXTENSIVE
f0509618,Pathology_Anatomical_Clinic_<_35=2018,EXTENSIVE
f0509718,Pathology_Anatomical_Clinic_35_44=2018,EXTENSIVE
f0509818,Pathology_Anatomical_Clinic_45_54=2018,EXTENSIVE
f0509918,Pathology_Anatomical_Clinic_55_64=2018,EXTENSIVE
f0510218,Physical_Medical_Medicine_&_Rehabilitation_<_35=2018,EXTENSIVE
f0510318,Physical_Medical_Medicine_&_Rehabilitation_35_44=2018,EXTENSIVE
f0510418,Physical_Medical_Medicine_&_Rehabilitation_45_54=2018,EXTENSIVE
f0510518,Physical_Medical_Medicine_&_Rehabilitation_55_64=2018,EXTENSIVE
f0510818,General_Preventive_Medical_Medicine_<_35=2018,EXTENSIVE
f0510918,General_Preventive_Medical_Medicine_35_44=2018,EXTENSIVE
