metric,description,classification
f1250818,General_Internal_Medical_Medicine_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1250918,Internal_Medical_Medicine_Subspecialties_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1251018,Pediatrics_General_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1251118,Pediatric_Subspecialties_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1251218,Pediatric_Cardiolgy_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1251318,Pulmonary_Disease_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1251418,Surgical_Specialty_Total_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1251518,General_Surgical_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1251618,Neurolgcal_Surgical_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1251718,Obstetrics_Gynecology_General_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1251818,Obstetrics_Gynecology_Subspecialties_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1251918,Ophthalmolgy_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1252018,Orthopedic_Surgical_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1252118,Otolaryngolgy_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1252218,Plastic_Surgical_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1252318,Colon_Rectal_Surgical_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1252418,Thoracic_Surgical_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1252518,Urology_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1252618,Other_Specialty_Total_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1252718,Aerospace_Medical_Medicine_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1252818,Anesthesiolgy_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1252918,Child_Psychiatric_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1253018,Diagnostic_Radiology_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1253118,Emergency_Medical_Medicine_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1253218,Forensic_Pathology_Anatomic_Clinical_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1253318,Medical_Genetics_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1253418,Neurology_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1253518,Nuclear_Medical_Medicine_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1253718,Psychiatry_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1253818,Pathology_Anatomic_Clinical_Anatomical_Clinic_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1253918,Physician_Medical_Medicine_Rehabilitation_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1254018,General_Prevention_Medical_Medicine_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1254118,Public_Health_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1254218,Radiology_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1254318,Radiation_Oncology_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1254418,Other_Specialty_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1254518,Unspecified_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1254616,3_Year_Total_Births=2016-18,EXTENSIVE
f1254716,3_Year_White_Male_Births=2016-18,EXTENSIVE
f1254816,3_Year_White_Female_Births=2016-18,EXTENSIVE
f1254916,3_Year_Black_Male_Births=2016-18,EXTENSIVE
f1255016,3_Year_Black_Female_Births=2016-18,EXTENSIVE
f1255116,3_Year_Other_Male_Births=2016-18,EXTENSIVE
f1255216,3_Year_Other_Female_Births=2016-18,EXTENSIVE
f1255316,3_Year_Total_Low_Birth_Weight_Birth=2016-18,EXTENSIVE
f1255416,3_Year_White_Low_Birth_Weight_Birth=2016-18,EXTENSIVE
f1255516,3_Year_Black_Low_Birth_Weight_Birth=2016-18,EXTENSIVE
f1255616,3_Year_Other_Low_Birth_Weight_Birth=2016-18,EXTENSIVE
f1255718,Total_Births=2018,EXTENSIVE
f1255818,Total_Deaths=2018,EXTENSIVE
f1255913,Urban_Influence_Code=2013,INTENSIVE
f1256018,Other_Long_Term_Care_Beds_Set_Up=2018,EXTENSIVE
f1256118,Other_Care_Beds_Set_Up=2018,EXTENSIVE
f1256218,#_Hospital_with_General_Medical_Medicine_Surgical_Care_Adult=2018,EXTENSIVE
f1256318,#_Hospital_with_General_Medical_Medicine_Surgical_Care_Pediatric=2018,EXTENSIVE
f1256418,#_Hospital_with_Obstetric_Care=2018,EXTENSIVE
f1256518,#_Hospital_with_Medical_Surgical_Intensive_Care=2018,EXTENSIVE
f1256618,#_Hospital_with_Cardiac_Intensive_Care=2018,EXTENSIVE
f1256718,#_Hospital_with_Neonatal_Intensive_Care=2018,EXTENSIVE
f1256818,#_Hospital_with_Neonatal_Intermediate_Care=2018,EXTENSIVE
f1256918,#_Hospital_with_Pediatric_Intensive_Care=2018,EXTENSIVE
f1257018,#_Hospital_with_Burn_Care=2018,EXTENSIVE
f1257118,#_Hospital_with_Other_Special_Care=2018,EXTENSIVE
f1257218,#_Hospital_with_Physical_Rehabilitation_Care=2018,EXTENSIVE
f1257318,#_Hospital_with_Alcohol_Drug_Abuse_Inpatient_Care=2018,EXTENSIVE
f1257418,#_Hospital_with_Psychiatric_Care=2018,EXTENSIVE
f1257518,#_Hospital_with_Skilled_Nursing_Care=2018,EXTENSIVE
f1257618,#_Hospital_with_Intermediate_Nursing_Care=2018,EXTENSIVE
f1257718,#_Hospital_with_Other_Long_Term_Care=2018,EXTENSIVE
f1257818,#_Hospital_with_Other_Care=2018,EXTENSIVE
f1257918,#_Hospital_with_Adult_Day_Care_Program=2018,EXTENSIVE
f1258018,#_Hospital_with_Alcohol_Chemical_Dependent_Outpatient_Service=2018,EXTENSIVE
f1258218,#_Hospital_with_Arthritis_Treatment_Center=2018,EXTENSIVE
f1258318,#_Hospital_with_Assisted_Living=2018,EXTENSIVE
f1258418,#_Hospital_with_Birth_Room_Labor_Delivery_Recovery_Room_Labor_Delivery_Recovery_Postpartum_Room=2018,EXTENSIVE
f1258518,#_Hospital_with_Breast_Cancer_Screen_Mammography=2018,EXTENSIVE
f1258718,#_Hospital_with_Case_Management=2018,EXTENSIVE
f1258818,#_Hospital_with_Child_Wellness_Program=2018,EXTENSIVE
f1258918,#_Hospital_with_Community_Outreach=2018,EXTENSIVE
f1259018,#_Hospital_with_Crisis_Prevention=2018,EXTENSIVE
f1259118,#_Hospital_with_Dental_Services=2018,EXTENSIVE
f1259218,#_Hospital_with_On_Campus_Emergency_Depart=2018,EXTENSIVE
f1259318,#_Hospital_with_Certified_Trauma_Center=2018,EXTENSIVE
f1259418,#_Hospital_with_Extracorporeal_Shock=2018,EXTENSIVE
f1259518,#_Hospital_with_Fitness_Center=2018,EXTENSIVE
f1259618,#_Hospital_with_Freestandng_Outpatient_Center=2018,EXTENSIVE
f1259718,#_Hospital_with_Geriatric_Services=2018,EXTENSIVE
f1259818,#_Hospital_with_Health_Fair=2018,EXTENSIVE
f1259918,#_Hospital_with_Community_Health_Education=2018,EXTENSIVE
f1260018,#_Hospital_with_Health_Screenings=2018,EXTENSIVE
f1260118,#_Hospital_with_Human_Immunodeficiency_Virus_Acquired_Immunodeficiency_Syndrome_Services=2018,EXTENSIVE
f1260218,#_Hospital_with_Home_Health_Services=2018,EXTENSIVE
f1260318,#_Hospital_with_Hospice=2018,EXTENSIVE
f1260418,#Hispanic_with_Hospital_Based_Outpatient_Care_Center_Service=2018,EXTENSIVE
f1260518,#_Hospital_with_Meal_Delivery_Services=2018,EXTENSIVE
f1260618,#_Hospital_with_Nutrition_Programs=2018,EXTENSIVE
f1260718,#_Hospital_with_Occupational_Health_Service=2018,EXTENSIVE
f1260818,#_Hospital_with_Oncology_Services=2018,EXTENSIVE
f1261118,#_Hospital_with_Outpatient_Surgery=2018,EXTENSIVE
f1261218,#_Hospital_with_Patient_Education_Center=2018,EXTENSIVE
f1261318,#_Hospital_with_Patient_Representative_Services=2018,EXTENSIVE
f1261418,#_Hospital_with_Physical_Rehabilitation_Outpatient_Service=2018,EXTENSIVE
f1261518,#_Hospital_with_Primary_Care_Department=2018,EXTENSIVE
f1261618,#_Hospital_with_Psychiatric_Pediatric_Service=2018,EXTENSIVE
f1261718,#_Hospital_with_Psychiatric_Consultation_Liaison_Service=2018,EXTENSIVE
f1261918,#_Hospital_with_Psychiatric_Education_Service=2018,EXTENSIVE
f1262018,#_Hospital_with_Psychiatric_Emergency_Service=2018,EXTENSIVE
f1262118,#_Hospital_with_Psychiatric_Geriatric_Service=2018,EXTENSIVE
f1262218,#_Hospital_with_Psychiatric_Outpatient_Service=2018,EXTENSIVE
f1262518,#_Hospital_with_C.T._Scanner=2018,EXTENSIVE
f1262618,#_Hospital_with_Diagnostic_Radioisotope_Facility=2018,EXTENSIVE
f1262718,#_Hospital_with_Magnetic_Resonance_Imaging=2018,EXTENSIVE
f1262918,#_Hospital_with_Positron_Emission_Emission_Tomography=2018,EXTENSIVE
f1263018,#_Hospital_with_Single_Photon_Emission_Tomography=2018,EXTENSIVE
f1263118,#_Hospital_with_Ultrasound=2018,EXTENSIVE
f1263318,#_Hospital_with_Retirement_Housing=2018,EXTENSIVE
f1263418,#_Hospital_with_Social_Work_Services=2018,EXTENSIVE
f1263518,#_Hospital_with_Sports_Medicine=2018,EXTENSIVE
f1263618,#_Hospital_with_Support_Groups=2018,EXTENSIVE
f1263718,#_Hospital_with_Teen_Outreach_Services=2018,EXTENSIVE
f1263918,#_Hospital_with_Transport_to_Health_Service=2018,EXTENSIVE
f1264018,#_Hospital_with_Urgent_Care_Center=2018,EXTENSIVE
f1264118,#_Hospital_with_Volunteer_Service_Department=2018,EXTENSIVE
f1264218,#_Hospital_with_Women's_Health_Center_Service=2018,EXTENSIVE
f1264518,Physicians_&_Dentists_Full_Time=2018,EXTENSIVE
f1264718,Registered_Nursing_Full_Time=2018,EXTENSIVE
f1264918,Licensed_Practical_Nurse_Licensed_Vocational_Nurse_Full_Time=2018,EXTENSIVE
f1265118,All_Other_Personnel_Full_Time=2018,EXTENSIVE
f1265318,Physicians_&_Dentists_Partial_Time=2018,EXTENSIVE
f1265518,Registered_Nursing_Partial_Time=2018,EXTENSIVE
f1265718,Licensed_Practical_Nurse_Licensed_Vocational_Nurse_Partial_Time=2018,EXTENSIVE
f1265918,All_Other_Personnel_Partial_Time=2018,EXTENSIVE
f1266118,#_Full_Time_Equivalent_Other_Personnel=2018,EXTENSIVE
f1266318,#_Full_Time_Equivalent_Medical_&_Dental_Residents=2018,EXTENSIVE
f1266518,#_Full_Time_Equivalent_Total_Trainees=2018,EXTENSIVE
f1266718,#_Full_Time_Equivalent_Total_Hospital_Personnel=2018,EXTENSIVE
f1266914,5_Year_Infant_Mortality_Rate_Total=2014-18,EXTENSIVE
f1267014,5_Year_Infant_Mortality_Rate_White=2014-18,EXTENSIVE
f1267114,5_Year_Infant_Mortality_Rate_Non_White=2014-18,EXTENSIVE
f13156,Social_Security_Administration_Beneficiary_Code=NA,META
f1316416,3_Year_Cerebrovascular_Disease=2016-18,EXTENSIVE
f1316516,3_Year_Other_Cardiovas_Disease=2016-18,EXTENSIVE
f1316616,3_Year_Suicides=2016-18,EXTENSIVE
f1316716,3_Year_Homicides&Legal_Interventn=2016-18,EXTENSIVE
f1316816,3_Year_Other_External_Causes=2016-18,EXTENSIVE
f1316916,3_Year_Diabetes=2016-18,EXTENSIVE
f1317016,3_Year_Deaths_From_Other_Causes=2016-18,EXTENSIVE
f1317118,Dentists_Total_Private_Practice=2018,EXTENSIVE
f1317218,Dentists_Total_Male_Private_Practice=2018,EXTENSIVE
f1317318,Dentists_Total_Female_Private_Practice=2018,EXTENSIVE
f1317418,Dentists_Private_Practice_Total_General_Practitioners_&_Pediatric=2018,EXTENSIVE
f1317518,Dentists_Private_Practice_Total_Other_Specialty=2018,EXTENSIVE
f1317618,#_Active_Dentists_55_64=2018,EXTENSIVE
f1317918,Dentists_State_or_Local_Government=2018,EXTENSIVE
f1318118,Dentists_Graduated_Student_Resident=2018,EXTENSIVE
f1318218,Population_(Persons)=2018,EXTENSIVE
f1318318,Dentists_Total_Professional_Active=2018,EXTENSIVE
f1318418,Dentists_Armed_Forces_&_Other_Federal_Service=2018,EXTENSIVE
f1318518,#_Psychiatric_Short_Term_Hospital=2018,EXTENSIVE
f1318618,#_Rehabilitation_State_Hospital=2018,EXTENSIVE
f1318718,#_Children's_Psychiatric_State_Hospital=2018,EXTENSIVE
f1318818,Inpatient_Days_in_State_Psychiatric=2018,EXTENSIVE
f1318918,Inpatient_Days_in_State_Rehabilitation=2018,EXTENSIVE
f1319018,Inpatient_Days_in_State_Children_Psychiatric=2018,EXTENSIVE
f1319119,#_Eligible_for_Medicare=2019,EXTENSIVE
f1319219,#_Medicare_Advantage_Enrollees=2019,EXTENSIVE
f1319319,%_Medicare_Advantage_Penetration=2019,INTENSIVE
f1321119,#_Skilled_Nursing_Facilities=2019,EXTENSIVE
f1321219,Skilled_Nursing_Facility_Total_Beds=2019,EXTENSIVE
f1321319,Skilled_Nursing_Facility_Certified_Beds=2019,EXTENSIVE
f1321419,#_Home_Health_Agencies=2019,EXTENSIVE
f1321519,#_Nursing_Facilities=2019,EXTENSIVE
f1321619,Nursing_Facilities_Total_Beds=2019,EXTENSIVE
f1321719,Nursing_Facilities_Certified_Beds=2019,EXTENSIVE
f1321819,#_Rural_Health_Clinics=2019,EXTENSIVE
f1321919,#_Ambulatory_Surgery_Centers=2019,EXTENSIVE
f1322019,#_Hospices=2019,EXTENSIVE
f1322119,#_Community_Mental_Health_Center=2019,EXTENSIVE
f1322318,Persons_in_Poverty=2018,EXTENSIVE
f1322418,Persons_Age_0_17_in_Poverty=2018,EXTENSIVE
f1322518,Related_Children_5_17_in_Family_in_Poverty=2018,EXTENSIVE
f1322618,Median_Household_Income=2018,INTENSIVE
f1328218,Dentists_Staff_Facility_&_Staff_Health_Organization=2018,EXTENSIVE
f1328318,Dentists_Other_Occupation=2018,EXTENSIVE
f1328418,Dentists_No_Longer_in_Practice=2018,EXTENSIVE
f1328518,#_Active_Dentists_Age_Unknown=2018,EXTENSIVE
f1328618,Dentists_Dental_School_Faculty=2018,EXTENSIVE
f1330918,Other_Intensive_Care_Bed_Set_Up=2018,EXTENSIVE
f1331018,#_Hospital_with_Other_Intensive_Care=2018,EXTENSIVE
f1331118,Acute_Long_Term_Care_Beds_Set_Up=2018,EXTENSIVE
f1331218,#_Hospital_with_Acute_Long_Term_Care=2018,EXTENSIVE
f1331318,#_Hospital_with_Auxiliary_Services=2018,EXTENSIVE
f1331418,#_Hospital_with_Chiropractic_Services=2018,EXTENSIVE
f1331518,#Hispanic_with_Complementary_Alternative_Medical_Medicine_Service=2018,EXTENSIVE
f1331718,#_Hospital_with_Pain_Management_Program=2018,EXTENSIVE
f1331818,#_Operating_Rooms=2018,EXTENSIVE
f1332019,#_Federal_Qualified_Health_Centers=2019,EXTENSIVE
f1332118,Percent_Persons_in_Poverty=2018,INTENSIVE
f1332218,Percent_Persons_Age_0_17_in_Poverty=2018,INTENSIVE
f1332318,Percent_Related_Children_5_17_in_Poverty=2018,INTENSIVE
f1332510,Total_Population_One_Race=2010,EXTENSIVE
f1332610,Asian_Population=2010,EXTENSIVE
f1332710,Native_Hawaii_Other_Pacific_Islander_Population=2010,EXTENSIVE
f1332810,Two_or_more_Races_Population=2010,EXTENSIVE
f1334410,Population_Asian_Male_<_5=2010,EXTENSIVE
f1334510,Population_Asian_Female_<_5=2010,EXTENSIVE
f1334610,Population_Asian_Male_5_9=2010,EXTENSIVE
f1334710,Population_Asian_Female_5_9=2010,EXTENSIVE
f1334810,Population_Asian_Male_10_14=2010,EXTENSIVE
f1334910,Population_Asian_Female_10_14=2010,EXTENSIVE
f1335010,Population_Asian_Male_15_19=2010,EXTENSIVE
f1335110,Population_Asian_Female_15_19=2010,EXTENSIVE
f1335210,Population_Asian_Male_20_24=2010,EXTENSIVE
f1335310,Population_Asian_Female_20_24=2010,EXTENSIVE
f1335410,Population_Asian_Male_25_29=2010,EXTENSIVE
f1335510,Population_Asian_Female_25_29=2010,EXTENSIVE
f1335610,Population_Asian_Male_30_34=2010,EXTENSIVE
f1335710,Population_Asian_Female_30_34=2010,EXTENSIVE
f1335810,Population_Asian_Male_35_44=2010,EXTENSIVE
f1335910,Population_Asian_Female_35_44=2010,EXTENSIVE
f1336010,Population_Asian_Male_45_54=2010,EXTENSIVE
f1336110,Population_Asian_Female_45_54=2010,EXTENSIVE
f1336210,Population_Asian_Male_55_59=2010,EXTENSIVE
f1336310,Population_Asian_Female_55_59=2010,EXTENSIVE
f1336410,Population_Asian_Male_60_64=2010,EXTENSIVE
f1336510,Population_Asian_Female_60_64=2010,EXTENSIVE
f1336610,Population_Asian_Male_65_74=2010,EXTENSIVE
f1336710,Population_Asian_Female_65_74=2010,EXTENSIVE
f1336810,Population_Asian_Male_75_84=2010,EXTENSIVE
f1336910,Population_Asian_Female_75_84=2010,EXTENSIVE
f1337010,Population_Asian_Male_>_84=2010,EXTENSIVE
f1337110,Population_Asian_Female_>_84=2010,EXTENSIVE
f1337210,Population_Native_Hawaii_Other_Pacific_Islander_Male_<_5=2010,EXTENSIVE
f1337310,Population_Native_Hawaii_Other_Pacific_Islander_Female_<_5=2010,EXTENSIVE
f1337410,Population_Native_Hawaii_Other_Pacific_Islander_Male_5_9=2010,EXTENSIVE
f1337510,Population_Native_Hawaii_Other_Pacific_Islander_Female_5_9=2010,EXTENSIVE
f1337610,Population_Native_Hawaii_Other_Pacific_Islander_Male_10_14=2010,EXTENSIVE
f1337710,Population_Native_Hawaii_Other_Pacific_Islander_Female_10_14=2010,EXTENSIVE
f1337810,Population_Native_Hawaii_Other_Pacific_Islander_Male_15_19=2010,EXTENSIVE
f1337910,Population_Native_Hawaii_Other_Pacific_Islander_Female_15_19=2010,EXTENSIVE
f1338010,Population_Native_Hawaii_Other_Pacific_Islander_Male_20_24=2010,EXTENSIVE
f1338110,Population_Native_Hawaii_Other_Pacific_Islander_Female_20_24=2010,EXTENSIVE
f1338210,Population_Native_Hawaii_Other_Pacific_Islander_Male_25_29=2010,EXTENSIVE
f1338310,Population_Native_Hawaii_Other_Pacific_Islander_Female_25_29=2010,EXTENSIVE
f1338410,Population_Native_Hawaii_Other_Pacific_Islander_Male_30_34=2010,EXTENSIVE
f1338510,Population_Native_Hawaii_Other_Pacific_Islander_Female_30_34=2010,EXTENSIVE
f1338610,Population_Native_Hawaii_Other_Pacific_Islander_Male_35_44=2010,EXTENSIVE
f1338710,Population_Native_Hawaii_Other_Pacific_Islander_Female_35_44=2010,EXTENSIVE
f1338810,Population_Native_Hawaii_Other_Pacific_Islander_Male_45_54=2010,EXTENSIVE
f1338910,Population_Native_Hawaii_Other_Pacific_Islander_Female_45_54=2010,EXTENSIVE
f1339010,Population_Native_Hawaii_Other_Pacific_Islander_Male_55_59=2010,EXTENSIVE
f1339110,Population_Native_Hawaii_Other_Pacific_Islander_Female_55_59=2010,EXTENSIVE
f1339210,Population_Native_Hawaii_Other_Pacific_Islander_Male_60_64=2010,EXTENSIVE
f1339310,Population_Native_Hawaii_Other_Pacific_Islander_Female_60_64=2010,EXTENSIVE
f1339410,Population_Native_Hawaii_Other_Pacific_Islander_Male_65_74=2010,EXTENSIVE
f1339510,Population_Native_Hawaii_Other_Pacific_Islander_Female_65_74=2010,EXTENSIVE
f1339610,Population_Native_Hawaii_Other_Pacific_Islander_Male_75_84=2010,EXTENSIVE
f1339710,Population_Native_Hawaii_Other_Pacific_Islander_Female_75_84=2010,EXTENSIVE
f1339810,Population_Native_Hawaii_Other_Pacific_Islander_Male_>_84=2010,EXTENSIVE
f1339910,Population_Native_Hawaii_Other_Pacific_Islander_Female_>_84=2010,EXTENSIVE
f1340010,Population_Two_or_more_Races_Male_<_5=2010,EXTENSIVE
f1340110,Population_Two_or_more_Races_Female_<_5=2010,EXTENSIVE
f1340210,Population_Two_or_more_Races_Male_5_9=2010,EXTENSIVE
f1340310,Population_Two_or_more_Races_Female_5_9=2010,EXTENSIVE
f1340410,Population_Two_or_more_Race_Male_10_14=2010,EXTENSIVE
f1340510,Population_Two_or_more_Race_Female_10_14=2010,EXTENSIVE
f1340610,Population_Two_or_more_Race_Male_15_19=2010,EXTENSIVE
f1340710,Population_Two_or_more_Race_Female_15_19=2010,EXTENSIVE
f1340810,Population_Two_or_more_Race_Male_20_24=2010,EXTENSIVE
f1340910,Population_Two_or_more_Race_Female_20_24=2010,EXTENSIVE
f1341010,Population_Two_or_more_Race_Male_25_29=2010,EXTENSIVE
f1341110,Population_Two_or_more_Race_Female_25_29=2010,EXTENSIVE
f1341210,Population_Two_or_more_Race_Male_30_34=2010,EXTENSIVE
f1341310,Population_Two_or_more_Race_Female_30_34=2010,EXTENSIVE
f1341410,Population_Two_or_more_Race_Male_35_44=2010,EXTENSIVE
f1341510,Population_Two_or_more_Race_Female_35_44=2010,EXTENSIVE
f1341610,Population_Two_or_more_Race_Male_45_54=2010,EXTENSIVE
f1341710,Population_Two_or_more_Race_Female_45_54=2010,EXTENSIVE
f1341810,Population_Two_or_more_Race_Male_55_59=2010,EXTENSIVE
f1341910,Population_Two_or_more_Race_Female_55_59=2010,EXTENSIVE
f1342010,Population_Two_or_more_Race_Male_60_64=2010,EXTENSIVE
f1342110,Population_Two_or_more_Race_Female_60_64=2010,EXTENSIVE
f1342210,Population_Two_or_more_Race_Male_65_74=2010,EXTENSIVE
f1342310,Population_Two_or_more_Race_Female_65_74=2010,EXTENSIVE
f1342410,Population_Two_or_more_Race_Male_75_84=2010,EXTENSIVE
f1342510,Population_Two_or_more_Race_Female_75_84=2010,EXTENSIVE
f1342610,Population_Two_or_more_Races_Male_>_84=2010,EXTENSIVE
f1342710,Population_Two_or_more_Races_Female_>_84=2010,EXTENSIVE
f1342810,Population_White_Non_Hispanic_Male_<_5=2010,EXTENSIVE
f1342910,Population_White_Non_Hispanic_Female_<_5=2010,EXTENSIVE
f1343010,Population_White_Non_Hispanic_Male_5_9=2010,EXTENSIVE
f1343110,Population_White_Non_Hispanic_Female_5_9=2010,EXTENSIVE
f1343210,Population_White_Non_Hispanic_Male_10_14=2010,EXTENSIVE
f1343310,Population_White_Non_Hispanic_Female_10_14=2010,EXTENSIVE
f1343410,Population_White_Non_Hispanic_Male_15_19=2010,EXTENSIVE
f1343510,Population_White_Non_Hispanic_Female_15_19=2010,EXTENSIVE
f1343610,Population_White_Non_Hispanic_Male_20_24=2010,EXTENSIVE
f1343710,Population_White_Non_Hispanic_Female_20_24=2010,EXTENSIVE
f1343810,Population_White_Non_Hispanic_Male_25_29=2010,EXTENSIVE
f1343910,Population_White_Non_Hispanic_Female_25_29=2010,EXTENSIVE
f1344010,Population_White_Non_Hispanic_Male_30_34=2010,EXTENSIVE
f1344110,Population_White_Non_Hispanic_Female_30_34=2010,EXTENSIVE
f1344210,Population_White_Non_Hispanic_Male_35_44=2010,EXTENSIVE
f1344310,Population_White_Non_Hispanic_Female_35_44=2010,EXTENSIVE
f1344410,Population_White_Non_Hispanic_Male_45_54=2010,EXTENSIVE
f1344510,Population_White_Non_Hispanic_Female_45_54=2010,EXTENSIVE
f1344610,Population_White_Non_Hispanic_Male_55_59=2010,EXTENSIVE
f1344710,Population_White_Non_Hispanic_Female_55_59=2010,EXTENSIVE
f1344810,Population_White_Non_Hispanic_Male_60_64=2010,EXTENSIVE
f1344910,Population_White_Non_Hispanic_Female_60_64=2010,EXTENSIVE
f1345010,Population_White_Non_Hispanic_Male_65_74=2010,EXTENSIVE
f1345110,Population_White_Non_Hispanic_Female_65_74=2010,EXTENSIVE
f1345210,Population_White_Non_Hispanic_Male_75_84=2010,EXTENSIVE
f1345310,Population_White_Non_Hispanic_Female_75_84=2010,EXTENSIVE
f1345410,Population_White_Non_Hispanic_Male_>_84=2010,EXTENSIVE
f1345510,Population_White_Non_Hispanic_Female_>_84=2010,EXTENSIVE
f1345610,Percent_Total_Population_One_Race=2010,INTENSIVE
f1345710,Percent_Asian_Population=2010,INTENSIVE
f1345810,Percent_Native_Hawaii_Other_Pacific_Islander_Population=2010,INTENSIVE
f1345910,Percent_Two_or_more_Race_Population=2010,INTENSIVE
f1346010,#_Asian_Households=2010,EXTENSIVE
f1346110,#_Native_Hawaii_Other_Pacific_Islander_Households=2010,EXTENSIVE
f1346210,#_Two_or_more_Races_Households=2010,EXTENSIVE
f1346310,#_White_Household_with_Husband_Wife_Family=2010,EXTENSIVE
f1346410,#_Black_African_American_Household_with_Husband_Wife_Family=2010,EXTENSIVE
f1346510,#American_Indian_Alaska_Native_Native_with_Husband_Wife_Family=2010,EXTENSIVE
f1346610,#_Asian_Household_with_Husband_Wife_Family=2010,EXTENSIVE
f1346710,#Native_Hawaiian_Other_Pacific_Islander_with_Husband_Wife_Family=2010,EXTENSIVE
f1346810,#Some_Other_Race_Households_with_Husband_Wife_Family=2010,EXTENSIVE
f1346910,#Two_+_Races_Households_with_Husband_Wife_Family=2010,EXTENSIVE
f1347010,#_Hispanic_Latino_Household_with_Husband_Wife_Family=2010,EXTENSIVE
f1347110,#_Single_Parent_Households_Asian=2010,EXTENSIVE
f1347210,#_Single_Parent_Household_Hawaiian_Other_Pacific_Islander=2010,EXTENSIVE
f1347310,#_Single_Parent_Household_Other_Race=2010,EXTENSIVE
f1347410,#_Single_Parent_Household_Two+_Races=2010,EXTENSIVE
f1348010,Unmarried_Partner_Household_Different_Sex=2010,EXTENSIVE
f1348110,Unmarried_Partner_Households_Male=2010,EXTENSIVE
f1348210,Unmarried_Partner_Households_Female=2010,EXTENSIVE
f1348310,Median_Age=2010,INTENSIVE
f1348410,Median_Age_Male=2010,INTENSIVE
f1348510,Median_Age_Female=2010,INTENSIVE
f1348610,Median_Age_White=2010,INTENSIVE
f1348710,Median_Age_White_Male=2010,INTENSIVE
f1348810,Median_Age_White_Female=2010,INTENSIVE
f1348910,Median_Age_Black_African_American=2010,INTENSIVE
f1349010,Median_Age_Black_African_American_Male=2010,INTENSIVE
f1349110,Median_Age_Black_African_American_Female=2010,INTENSIVE
f1349210,Median_Age_American_Indian_Alaska_Native=2010,INTENSIVE
f1349310,Median_Age_American_Indian_Alaska_Male=2010,INTENSIVE
f1349410,Median_Age_American_Indian_Alaska_Female=2010,INTENSIVE
f1349510,Median_Age_Asian=2010,INTENSIVE
f1349610,Median_Age_Asian_Male=2010,INTENSIVE
f1349710,Median_Age_Asian_Female=2010,INTENSIVE
f1349810,Median_Age_Native_Hawaii_Other_Pacific_Islander=2010,INTENSIVE
f1349910,Median_Age_Native_Hawaiian_Other_Pacific_Islander_Male=2010,INTENSIVE
f1350010,Median_Age_Native_Hawaiian_Other_Pacific_Islander_Female=2010,INTENSIVE
f1350110,Median_Age_Other_Race=2010,INTENSIVE
f1350210,Median_Age_Other_Race_Male=2010,INTENSIVE
f1350310,Median_Age_Other_Race_Female=2010,INTENSIVE
f1350410,Median_Age_Two_or_More_Races=2010,INTENSIVE
f1350510,Median_Age_Two+_Races_Male=2010,INTENSIVE
f1350610,Median_Age_Two+_Races_Female=2010,INTENSIVE
f1350710,Median_Age_Hispanic_Latino=2010,INTENSIVE
f1350810,Median_Age_Hispanic_Latino_Male=2010,INTENSIVE
f1350910,Median_Age_Hispanic_Latino_Female=2010,INTENSIVE
f1351010,Median_Age_White_Non_Hispanic=2010,INTENSIVE
f1351110,Median_Age_White_Non_Hispanic_Male=2010,INTENSIVE
f1351210,Median_Age_White_Non_Hispanic_Female=2010,INTENSIVE
