metric,raw_year,pop_year,description
f1263618,2018,2018,#_Hospital_with_Support_Groups=2018
f1263718,2018,2018,#_Hospital_with_Teen_Outreach_Services=2018
f1263918,2018,2018,#_Hospital_with_Transport_to_Health_Service=2018
f1264018,2018,2018,#_Hospital_with_Urgent_Care_Center=2018
f1264118,2018,2018,#_Hospital_with_Volunteer_Service_Department=2018
f1264218,2018,2018,#_Hospital_with_Women's_Health_Center_Service=2018
f1264518,2018,2018,Physicians_&_Dentists_Full_Time=2018
f1264718,2018,2018,Registered_Nursing_Full_Time=2018
f1264918,2018,2018,Licensed_Practical_Nurse_Licensed_Vocational_Nurse_Full_Time=2018
f1265118,2018,2018,All_Other_Personnel_Full_Time=2018
f1265318,2018,2018,Physicians_&_Dentists_Partial_Time=2018
f1265518,2018,2018,Registered_Nursing_Partial_Time=2018
f1265718,2018,2018,Licensed_Practical_Nurse_Licensed_Vocational_Nurse_Partial_Time=2018
f1265918,2018,2018,All_Other_Personnel_Partial_Time=2018
f1266118,2018,2018,#_Full_Time_Equivalent_Other_Personnel=2018
f1266318,2018,2018,#_Full_Time_Equivalent_Medical_&_Dental_Residents=2018
f1266518,2018,2018,#_Full_Time_Equivalent_Total_Trainees=2018
f1266718,2018,2018,#_Full_Time_Equivalent_Total_Hospital_Personnel=2018
f1266914,2016,2016,5_Year_Infant_Mortality_Rate_Total=2014-18
f1267014,2016,2016,5_Year_Infant_Mortality_Rate_White=2014-18
f1267114,2016,2016,5_Year_Infant_Mortality_Rate_Non_White=2014-18
f1316416,2017,2017,3_Year_Cerebrovascular_Disease=2016-18
f1316516,2017,2017,3_Year_Other_Cardiovas_Disease=2016-18
f1316616,2017,2017,3_Year_Suicides=2016-18
f1316716,2017,2017,3_Year_Homicides&Legal_Interventn=2016-18
f1316816,2017,2017,3_Year_Other_External_Causes=2016-18
f1316916,2017,2017,3_Year_Diabetes=2016-18
f1317016,2017,2017,3_Year_Deaths_From_Other_Causes=2016-18
f1317118,2018,2018,Dentists_Total_Private_Practice=2018
f1317218,2018,2018,Dentists_Total_Male_Private_Practice=2018
f1317318,2018,2018,Dentists_Total_Female_Private_Practice=2018
f1317418,2018,2018,Dentists_Private_Practice_Total_General_Practitioners_&_Pediatric=2018
f1317518,2018,2018,Dentists_Private_Practice_Total_Other_Specialty=2018
f1317618,2018,2018,#_Active_Dentists_55_64=2018
f1317918,2018,2018,Dentists_State_or_Local_Government=2018
f1318118,2018,2018,Dentists_Graduated_Student_Resident=2018
